"id","tmdb_id","media_type","title","rating","tmdb_backdrop","tmdb_poster","release_date","overview","createdAt","updatedAt"
320,242582,"movie","Nightcrawler",7.6,"https://image.tmdb.org/t/p/w780/ts4j3zYaPzdUVF3ijBeBdGVDWjX.jpg","https://image.tmdb.org/t/p/w780/8oPY6ULFOTbAEskySNhgsUIN4fW.jpg","2014-10-23","When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.","2017-12-11 16:50:57.685-05","2017-12-11 16:50:57.685-05"
321,244786,"movie","Whiplash",8.3,"https://image.tmdb.org/t/p/w780/6bbZ6XyvgfjhQwbplnUh1LSj1ky.jpg","https://image.tmdb.org/t/p/w780/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg","2014-10-10","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.","2017-12-11 16:50:59.185-05","2017-12-11 16:50:59.185-05"
322,10158,"movie","White Men Can't Jump",6.3,"https://image.tmdb.org/t/p/w780/qXeK9s0YvYdCUQsHPIUPDtJHXHR.jpg","https://image.tmdb.org/t/p/w780/1wEHR5yxIya9HUCFHVcntTx6q91.jpg","1992-03-26","Billy Hoyle (Woody Harrelson) and Sidney Deane (Wesley Snipes) are an unlikely pair of basketball hustlers. They team up to con their way across the courts of Los Angeles, playing a game that's fast dangerous - and funny.","2017-12-11 16:51:02.175-05","2017-12-11 16:51:02.175-05"
323,2252,"movie","Eastern Promises",7.2,"https://image.tmdb.org/t/p/w780/9KX4n538DJOXrvspKK5ZJI56RPt.jpg","https://image.tmdb.org/t/p/w780/uQduBOXqpC4XG8qK2pMcqz1OnQY.jpg","2007-09-14","A Russian teenager living in London who dies during childbirth leaves clues to a midwife in her journal that could tie her child to a rape involving a violent Russian mob family.","2017-12-11 16:51:05.198-05","2017-12-11 16:51:05.198-05"
324,59,"movie","A History of Violence",7,"https://image.tmdb.org/t/p/w780/aBjvBbQWrR5gZbxS4WMSaT1XlZL.jpg","https://image.tmdb.org/t/p/w780/mz1qCHXxTUJm2AqOdW3IIpwYdo3.jpg","2005-09-23","An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.","2017-12-11 16:51:06.68-05","2017-12-11 16:51:06.68-05"
325,10215,"movie","Sliding Doors",6.6,"https://image.tmdb.org/t/p/w780/fD7BrbQyFvXmccz8Squ8C28xbd8.jpg","https://image.tmdb.org/t/p/w780/v4fYFjEtDk3uCbDl5K6cgBCx1kZ.jpg","1998-04-23","Gwyneth Paltrow plays London publicist Helen, effortlessly sliding between parallel storylines that show what happens if she does or does not catch a train back to her apartment. Love. Romantic entanglements. Deception. Trust. Friendship. Comedy. All come into focus as the two stories shift back and forth, overlap and surprisingly converge.","2017-12-11 16:51:08.174-05","2017-12-11 16:51:08.174-05"
327,1578,"movie","Raging Bull",7.8,"https://image.tmdb.org/t/p/w780/yt88nEyDJLN8gOg1FTvCcXCM672.jpg","https://image.tmdb.org/t/p/w780/cbTfaMrWpZWwF3mY40v1SKaAVCx.jpg","1980-11-14","When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.","2017-12-11 16:51:11.182-05","2017-12-11 16:51:11.182-05"
328,539,"movie","Psycho",8.3,"https://image.tmdb.org/t/p/w780/3md49VBCeqY6MSNyAVY6d5eC6bA.jpg","https://image.tmdb.org/t/p/w780/81d8oyEFgj7FlxJqSDXWr8JH8kV.jpg","1960-06-16","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower.","2017-12-11 16:51:12.696-05","2017-12-11 16:51:12.696-05"
329,15764,"movie","Sophie's Choice",7.4,"https://image.tmdb.org/t/p/w780/7wL6ZXSwP4E84WDykQ6VksI4PxH.jpg","https://image.tmdb.org/t/p/w780/7kBisRhUVzL09qSdNFeg33XbL1N.jpg","1982-12-08","Meryl Streep stars as Sophie, a Polish immigrant who shares a boarding house in Brooklyn with her tempestuous lover, Nathan (Kevin Kline in his feature film debut), and a young writer, Stingo (Peter MacNicol).","2017-12-11 16:51:14.179-05","2017-12-11 16:51:14.179-05"
330,37247,"movie","The Graduate",7.6,"https://image.tmdb.org/t/p/w780/sEWKMIlgUCCb2n5mT0Mf71DRKLR.jpg","https://image.tmdb.org/t/p/w780/itdaGoyXKIAXRrHmchoMsGbwp2y.jpg","1967-12-21","A recent college graduate finds himself in a love triangle with an older woman and her daughter.","2017-12-11 16:51:17.2-05","2017-12-11 16:51:17.2-05"
